minutes_since_start,internet_connections
0,255.0913991059568
10,257.2553519592287
20,323.2346596955986
30,203.06347602369496
40,211.83137079885623
50,262.83201627033316
60,201.57362715369757
70,183.993457607236
80,154.80684697758258
90,166.81241953542795
100,179.80607847803276
110,165.7702859372073
120,145.12403867745442
130,184.0213799566369
140,151.64928106797365
150,141.141306254827
160,164.02224316979044
170,142.2255623844992
180,155.4595777279441
190,152.5821133382438
200,132.6179473501492
210,142.28505229728074
220,149.43135951720316
230,138.37123757052413
240,135.9399664660875
250,145.90535279933167
260,135.40834187244047
270,145.48706956361605
280,145.54093816201708
290,143.5273594610184
300,173.89891556085507
310,156.77818053322812
320,140.42571925205345
330,126.92178104203347
340,133.70002968678355
350,130.95431345296242
360,145.05057670265398
370,141.0468172481779
380,134.6478167878377
390,140.9151485351741
400,150.74676123547053
410,152.7185630618167
420,146.29939364063605
430,177.05687627443334
440,165.36532853027387
450,172.60110374543785
460,185.26585017695479
470,178.32670155819903
480,171.6848288023343
490,188.068414123206
500,186.541258769812
510,357.9167092645688
520,203.5110188359
530,230.1708954915224
540,277.3835373453057
550,245.6339766949974
560,216.57638775003002
570,257.7068813336102
580,257.0201359500198
590,310.21236472507417
600,330.00330954201684
610,326.98401078252016
620,382.75217404573175
630,430.91336873104154
640,407.7215976367303
650,481.8109632566836
660,323.5423716546523
670,360.48043749060554
680,340.46328548230963
690,379.96772947824905
700,319.5747654298723
710,287.723502897643
720,302.25764643125206
730,262.74772538254064
740,294.1305343410823
750,289.72378691354635
760,363.2022060196209
770,266.047982604252
780,288.1114541413391
790,276.91565202081443
800,234.50508164882143
810,236.09173942391428
820,257.1108909740749
830,297.60105508141885
840,276.0911094378629
850,292.6208386225631
860,270.7071993527873
870,246.1743979082096
880,302.83081825043587
890,255.70484938987155
900,257.19050110142035
910,246.11437511939303
920,286.1417062171553
930,258.8175658837056
940,266.67664838450565
950,312.8082204986416
960,243.2675221224388
970,266.83975195436136
980,224.95830411456407
990,233.06286375832204
1000,277.0481298678994
1010,274.48753254315506
1020,315.98628332570865
1030,281.25287172735597
1040,367.06245926380313
1050,331.41080878681504
1060,329.56796770677573
1070,457.9942802975791
1080,339.7313794494186
1090,327.96985555686524
1100,315.7077334792168
1110,365.41415498892377
1120,944.4951363740092
1130,611.9942587583573
1140,293.5151677760135
1150,378.263876633148
1160,790.597664928048
