time,source,destination,packet_length
0.090743,10.0.0.1,10.0.0.0,132
0.140895,10.0.0.1,10.0.0.0,132
0.186548,10.0.0.1,10.0.0.0,132
0.250503,10.0.0.1,10.0.0.0,132
0.250503,10.0.0.1,10.0.0.0,132
0.336436,10.0.0.1,10.0.0.0,1360
0.336436,10.0.0.1,10.0.0.0,468
0.707702,10.0.0.1,10.0.0.0,132
0.831058,10.0.0.1,10.0.0.0,1360
0.831058,10.0.0.1,10.0.0.0,468
0.832648,10.0.0.1,10.0.0.0,132
1.297267,10.0.0.1,10.0.0.0,210
1.331578,10.0.0.1,10.0.0.0,1360
1.331578,10.0.0.1,10.0.0.0,468
1.435250,10.0.0.1,10.0.0.0,209
1.518120,10.0.0.1,10.0.0.0,132
1.831127,10.0.0.1,10.0.0.0,1360
1.831127,10.0.0.1,10.0.0.0,468
2.333716,10.0.0.1,10.0.0.0,1360
2.333716,10.0.0.1,10.0.0.0,468
2.414083,10.0.0.1,10.0.0.0,120
2.485698,10.0.0.1,10.0.0.0,136
2.772776,10.0.0.1,10.0.0.0,598
2.829602,10.0.0.1,10.0.0.0,1360
2.829602,10.0.0.1,10.0.0.0,468
2.919161,10.0.0.1,10.0.0.0,132
3.079032,10.0.0.1,10.0.0.0,1360
3.079032,10.0.0.1,10.0.0.0,1360
3.079032,10.0.0.1,10.0.0.0,1360
3.079032,10.0.0.1,10.0.0.0,1360
3.079032,10.0.0.1,10.0.0.0,1360
3.079032,10.0.0.1,10.0.0.0,283
3.243474,10.0.0.1,10.0.0.0,176
3.269043,10.0.0.1,10.0.0.0,120
3.272211,10.0.0.1,10.0.0.0,223
3.315787,10.0.0.1,10.0.0.0,564
3.334780,10.0.0.1,10.0.0.0,1360
3.334780,10.0.0.1,10.0.0.0,468
3.568260,10.0.0.1,10.0.0.0,120
3.568260,10.0.0.1,10.0.0.0,120
3.568260,10.0.0.1,10.0.0.0,120
3.660501,10.0.0.1,10.0.0.0,1211
3.719722,10.0.0.1,10.0.0.0,132
3.721748,10.0.0.1,10.0.0.0,132
3.773705,10.0.0.1,10.0.0.0,120
3.773705,10.0.0.1,10.0.0.0,132
3.828709,10.0.0.1,10.0.0.0,1360
3.832141,10.0.0.1,10.0.0.0,468
4.085801,10.0.0.1,10.0.0.0,132
4.186021,10.0.0.1,10.0.0.0,132
4.209150,10.0.0.1,10.0.0.0,132
4.234833,10.0.0.1,10.0.0.0,120
4.237583,10.0.0.1,10.0.0.0,120
4.255640,10.0.0.1,10.0.0.0,132
4.337403,10.0.0.1,10.0.0.0,1360
4.337403,10.0.0.1,10.0.0.0,468
4.337403,10.0.0.1,10.0.0.0,132
4.344150,10.0.0.1,10.0.0.0,120
4.385722,10.0.0.1,10.0.0.0,132
4.411977,10.0.0.1,10.0.0.0,132
4.500390,10.0.0.1,10.0.0.0,132
4.520348,10.0.0.1,10.0.0.0,132
4.559186,10.0.0.1,10.0.0.0,120
4.639580,10.0.0.1,10.0.0.0,132
4.832916,10.0.0.1,10.0.0.0,1360
4.832916,10.0.0.1,10.0.0.0,468
5.330760,10.0.0.1,10.0.0.0,1360
5.330760,10.0.0.1,10.0.0.0,468
5.413751,10.0.0.1,10.0.0.0,159
5.413751,10.0.0.1,10.0.0.0,144
5.413751,10.0.0.1,10.0.0.0,120
5.533211,10.0.0.1,10.0.0.0,60
5.533211,10.0.0.1,10.0.0.0,60
5.533211,10.0.0.1,10.0.0.0,91
5.539385,10.0.0.1,10.0.0.0,148
5.539385,10.0.0.1,10.0.0.0,1358
5.539385,10.0.0.1,10.0.0.0,1358
5.539385,10.0.0.1,10.0.0.0,407
5.539385,10.0.0.1,10.0.0.0,1045
5.539385,10.0.0.1,10.0.0.0,132
5.539385,10.0.0.1,10.0.0.0,131
5.553651,10.0.0.1,10.0.0.0,132
5.553651,10.0.0.1,10.0.0.0,120
5.640165,10.0.0.1,10.0.0.0,1354
5.640165,10.0.0.1,10.0.0.0,839
5.707884,10.0.0.1,10.0.0.0,132
5.721411,10.0.0.1,10.0.0.0,230
5.787321,10.0.0.1,10.0.0.0,132
5.820910,10.0.0.1,10.0.0.0,134
5.820910,10.0.0.1,10.0.0.0,134
5.831315,10.0.0.1,10.0.0.0,148
5.831315,10.0.0.1,10.0.0.0,120
5.838085,10.0.0.1,10.0.0.0,120
5.838085,10.0.0.1,10.0.0.0,159
5.838085,10.0.0.1,10.0.0.0,1358
5.838085,10.0.0.1,10.0.0.0,1358
5.838085,10.0.0.1,10.0.0.0,1358
5.838085,10.0.0.1,10.0.0.0,1358
5.838085,10.0.0.1,10.0.0.0,1358
5.838085,10.0.0.1,10.0.0.0,1358
5.838085,10.0.0.1,10.0.0.0,120
5.838085,10.0.0.1,10.0.0.0,1360
5.838085,10.0.0.1,10.0.0.0,468
5.838085,10.0.0.1,10.0.0.0,185
5.838085,10.0.0.1,10.0.0.0,130
5.841615,10.0.0.1,10.0.0.0,211
5.841615,10.0.0.1,10.0.0.0,151
5.841615,10.0.0.1,10.0.0.0,159
5.932812,10.0.0.1,10.0.0.0,132
6.002463,10.0.0.1,10.0.0.0,132
6.020081,10.0.0.1,10.0.0.0,1350
6.023150,10.0.0.1,10.0.0.0,120
6.047269,10.0.0.1,10.0.0.0,133
6.103776,10.0.0.1,10.0.0.0,132
6.203203,10.0.0.1,10.0.0.0,1063
6.203203,10.0.0.1,10.0.0.0,230
6.226680,10.0.0.1,10.0.0.0,133
6.329165,10.0.0.1,10.0.0.0,1360
6.329165,10.0.0.1,10.0.0.0,468
6.385217,10.0.0.1,10.0.0.0,132
6.571193,10.0.0.1,10.0.0.0,132
6.585781,10.0.0.1,10.0.0.0,120
6.776515,10.0.0.1,10.0.0.0,132
6.830791,10.0.0.1,10.0.0.0,1360
6.830791,10.0.0.1,10.0.0.0,468
7.068117,10.0.0.1,10.0.0.0,132
7.079162,10.0.0.1,10.0.0.0,132
7.173685,10.0.0.1,10.0.0.0,132
7.178928,10.0.0.1,10.0.0.0,120
7.190343,10.0.0.1,10.0.0.0,132
7.242983,10.0.0.1,10.0.0.0,120
7.242983,10.0.0.1,10.0.0.0,176
7.331062,10.0.0.1,10.0.0.0,1360
7.331062,10.0.0.1,10.0.0.0,468
7.420405,10.0.0.1,10.0.0.0,585
7.465799,10.0.0.1,10.0.0.0,120
7.509202,10.0.0.1,10.0.0.0,120
7.569194,10.0.0.1,10.0.0.0,132
7.617783,10.0.0.1,10.0.0.0,132
7.635652,10.0.0.1,10.0.0.0,132
7.710988,10.0.0.1,10.0.0.0,120
7.710988,10.0.0.1,10.0.0.0,120
7.717617,10.0.0.1,10.0.0.0,323
7.831294,10.0.0.1,10.0.0.0,1360
7.831294,10.0.0.1,10.0.0.0,468
7.846702,10.0.0.1,10.0.0.0,132
7.859233,10.0.0.1,10.0.0.0,120
7.877001,10.0.0.1,10.0.0.0,978
7.931618,10.0.0.1,10.0.0.0,132
8.006738,10.0.0.1,10.0.0.0,132
8.089885,10.0.0.1,10.0.0.0,120
8.137379,10.0.0.1,10.0.0.0,132
8.233487,10.0.0.1,10.0.0.0,120
8.250705,10.0.0.1,10.0.0.0,120
8.277770,10.0.0.1,10.0.0.0,132
8.334590,10.0.0.1,10.0.0.0,1360
8.334590,10.0.0.1,10.0.0.0,468
8.377162,10.0.0.1,10.0.0.0,120
8.560726,10.0.0.1,10.0.0.0,120
8.560726,10.0.0.1,10.0.0.0,132
8.710816,10.0.0.1,10.0.0.0,132
8.830514,10.0.0.1,10.0.0.0,1360
8.832954,10.0.0.1,10.0.0.0,468
9.332525,10.0.0.1,10.0.0.0,1360
9.332525,10.0.0.1,10.0.0.0,468
9.360980,10.0.0.1,10.0.0.0,120
9.665124,10.0.0.1,10.0.0.0,132
9.800397,10.0.0.1,10.0.0.0,132
9.831281,10.0.0.1,10.0.0.0,1360
9.831281,10.0.0.1,10.0.0.0,468
9.908580,10.0.0.1,10.0.0.0,120
10.160566,10.0.0.1,10.0.0.0,159
10.258067,10.0.0.1,10.0.0.0,120
10.329981,10.0.0.1,10.0.0.0,1360
10.329981,10.0.0.1,10.0.0.0,468
10.391438,10.0.0.1,10.0.0.0,132
10.501095,10.0.0.1,10.0.0.0,132
10.738749,10.0.0.1,10.0.0.0,120
10.834340,10.0.0.1,10.0.0.0,1360
10.834340,10.0.0.1,10.0.0.0,468
10.876981,10.0.0.1,10.0.0.0,120
10.952477,10.0.0.1,10.0.0.0,132
11.150238,10.0.0.1,10.0.0.0,132
11.310562,10.0.0.1,10.0.0.0,577
11.329951,10.0.0.1,10.0.0.0,1360
11.332365,10.0.0.1,10.0.0.0,468
11.352328,10.0.0.1,10.0.0.0,120
11.376617,10.0.0.1,10.0.0.0,132
11.460263,10.0.0.1,10.0.0.0,132
11.540960,10.0.0.1,10.0.0.0,120
11.570386,10.0.0.1,10.0.0.0,132
11.601701,10.0.0.1,10.0.0.0,120
11.606695,10.0.0.1,10.0.0.0,478
11.639663,10.0.0.1,10.0.0.0,132
11.755043,10.0.0.1,10.0.0.0,445
11.829713,10.0.0.1,10.0.0.0,1360
11.829713,10.0.0.1,10.0.0.0,468
11.896275,10.0.0.1,10.0.0.0,132
11.900006,10.0.0.1,10.0.0.0,132
