time,source,destination,packet_length
0.000000,10.0.0.0,10.0.0.1,121
0.047966,10.0.0.0,10.0.0.1,121
0.111170,10.0.0.0,10.0.0.1,121
0.111252,10.0.0.0,10.0.0.1,121
0.336816,10.0.0.0,10.0.0.1,120
0.568650,10.0.0.0,10.0.0.1,121
0.694950,10.0.0.0,10.0.0.1,121
0.831693,10.0.0.0,10.0.0.1,120
1.150322,10.0.0.0,10.0.0.1,148
1.297816,10.0.0.0,10.0.0.1,140
1.332121,10.0.0.0,10.0.0.1,120
1.379010,10.0.0.0,10.0.0.1,121
1.831485,10.0.0.0,10.0.0.1,120
2.269021,10.0.0.0,10.0.0.1,121
2.320132,10.0.0.0,10.0.0.1,137
2.334137,10.0.0.0,10.0.0.1,120
2.628845,10.0.0.0,10.0.0.1,164
2.775107,10.0.0.0,10.0.0.1,132
2.829975,10.0.0.0,10.0.0.1,120
2.919524,10.0.0.0,10.0.0.1,120
2.921164,10.0.0.0,10.0.0.1,679
3.079449,10.0.0.0,10.0.0.1,120
3.079956,10.0.0.0,10.0.0.1,120
3.094438,10.0.0.0,10.0.0.1,174
3.121470,10.0.0.0,10.0.0.1,200
3.121563,10.0.0.0,10.0.0.1,1128
3.272493,10.0.0.0,10.0.0.1,120
3.292879,10.0.0.0,10.0.0.1,120
3.316036,10.0.0.0,10.0.0.1,120
3.335164,10.0.0.0,10.0.0.1,120
3.421992,10.0.0.0,10.0.0.1,121
3.422175,10.0.0.0,10.0.0.1,121
3.422229,10.0.0.0,10.0.0.1,121
3.580452,10.0.0.0,10.0.0.1,121
3.580677,10.0.0.0,10.0.0.1,121
3.595968,10.0.0.0,10.0.0.1,121
3.630432,10.0.0.0,10.0.0.1,121
3.714421,10.0.0.0,10.0.0.1,120
3.832373,10.0.0.0,10.0.0.1,120
3.860392,10.0.0.0,10.0.0.1,121
3.947253,10.0.0.0,10.0.0.1,121
4.046852,10.0.0.0,10.0.0.1,121
4.049224,10.0.0.0,10.0.0.1,195
4.049635,10.0.0.0,10.0.0.1,195
4.063330,10.0.0.0,10.0.0.1,121
4.196279,10.0.0.0,10.0.0.1,121
4.196417,10.0.0.0,10.0.0.1,121
4.246462,10.0.0.0,10.0.0.1,121
4.265815,10.0.0.0,10.0.0.1,121
4.334590,10.0.0.0,10.0.0.1,121
4.337691,10.0.0.0,10.0.0.1,120
4.381182,10.0.0.0,10.0.0.1,121
4.416501,10.0.0.0,10.0.0.1,121
4.481396,10.0.0.0,10.0.0.1,121
