time,source,destination,packet_length
0.000000,10.0.0.0,10.0.0.1,1287
0.000126,10.0.0.0,10.0.0.1,1292
0.000184,10.0.0.0,10.0.0.1,1054
0.100164,10.0.0.0,10.0.0.1,77
0.119604,10.0.0.0,10.0.0.1,393
0.214590,10.0.0.0,10.0.0.1,84
0.243325,10.0.0.0,10.0.0.1,54
0.244006,10.0.0.0,10.0.0.1,90
0.249673,10.0.0.0,10.0.0.1,90
0.707742,10.0.0.0,10.0.0.1,1446
0.707742,10.0.0.0,10.0.0.1,1446
0.707742,10.0.0.0,10.0.0.1,1446
0.707742,10.0.0.0,10.0.0.1,1446
0.707742,10.0.0.0,10.0.0.1,1446
0.707742,10.0.0.0,10.0.0.1,1446
0.707742,10.0.0.0,10.0.0.1,1143
0.853292,10.0.0.0,10.0.0.1,54
0.854020,10.0.0.0,10.0.0.1,90
1.091033,10.0.0.0,10.0.0.1,1446
1.091033,10.0.0.0,10.0.0.1,1446
1.091033,10.0.0.0,10.0.0.1,1446
1.091033,10.0.0.0,10.0.0.1,111
1.203629,10.0.0.0,10.0.0.1,276
1.210413,10.0.0.0,10.0.0.1,90
1.240832,10.0.0.0,10.0.0.1,1446
1.240832,10.0.0.0,10.0.0.1,1055
1.283279,10.0.0.0,10.0.0.1,1287
1.283375,10.0.0.0,10.0.0.1,1292
1.283415,10.0.0.0,10.0.0.1,1292
1.283450,10.0.0.0,10.0.0.1,1292
1.283486,10.0.0.0,10.0.0.1,1292
1.283521,10.0.0.0,10.0.0.1,1000
1.323640,10.0.0.0,10.0.0.1,54
1.325053,10.0.0.0,10.0.0.1,90
1.340812,10.0.0.0,10.0.0.1,1446
1.340812,10.0.0.0,10.0.0.1,1446
1.340812,10.0.0.0,10.0.0.1,1446
1.340812,10.0.0.0,10.0.0.1,647
1.359749,10.0.0.0,10.0.0.1,90
1.390531,10.0.0.0,10.0.0.1,77
1.454169,10.0.0.0,10.0.0.1,54
1.454703,10.0.0.0,10.0.0.1,90
1.605491,10.0.0.0,10.0.0.1,71
1.896274,10.0.0.0,10.0.0.1,71
2.036389,10.0.0.0,10.0.0.1,71
2.091648,10.0.0.0,10.0.0.1,1446
2.091648,10.0.0.0,10.0.0.1,1034
2.119716,10.0.0.0,10.0.0.1,83
2.119930,10.0.0.0,10.0.0.1,76
2.142191,10.0.0.0,10.0.0.1,77
2.164817,10.0.0.0,10.0.0.1,76
2.179979,10.0.0.0,10.0.0.1,1292
2.180064,10.0.0.0,10.0.0.1,1292
2.180271,10.0.0.0,10.0.0.1,120
2.180520,10.0.0.0,10.0.0.1,491
2.180591,10.0.0.0,10.0.0.1,77
2.194749,10.0.0.0,10.0.0.1,1292
2.194869,10.0.0.0,10.0.0.1,1292
2.195152,10.0.0.0,10.0.0.1,117
2.195999,10.0.0.0,10.0.0.1,803
2.196223,10.0.0.0,10.0.0.1,382
2.196935,10.0.0.0,10.0.0.1,1292
2.197018,10.0.0.0,10.0.0.1,1292
2.197249,10.0.0.0,10.0.0.1,123
2.197601,10.0.0.0,10.0.0.1,804
2.221354,10.0.0.0,10.0.0.1,398
2.221599,10.0.0.0,10.0.0.1,400
2.222911,10.0.0.0,10.0.0.1,54
2.231610,10.0.0.0,10.0.0.1,90
2.243593,10.0.0.0,10.0.0.1,77
2.244114,10.0.0.0,10.0.0.1,409
2.254832,10.0.0.0,10.0.0.1,123
2.255092,10.0.0.0,10.0.0.1,76
2.255328,10.0.0.0,10.0.0.1,80
2.255864,10.0.0.0,10.0.0.1,123
2.256034,10.0.0.0,10.0.0.1,76
2.256441,10.0.0.0,10.0.0.1,80
2.259328,10.0.0.0,10.0.0.1,405
2.259564,10.0.0.0,10.0.0.1,391
2.260253,10.0.0.0,10.0.0.1,76
2.274037,10.0.0.0,10.0.0.1,123
2.274280,10.0.0.0,10.0.0.1,76
2.282743,10.0.0.0,10.0.0.1,80
2.289087,10.0.0.0,10.0.0.1,76
2.289327,10.0.0.0,10.0.0.1,80
2.289427,10.0.0.0,10.0.0.1,76
2.289535,10.0.0.0,10.0.0.1,76
2.289644,10.0.0.0,10.0.0.1,76
2.289746,10.0.0.0,10.0.0.1,76
