time,source,destination,packet_length
0.000000,10.0.0.0,10.0.0.1,86
0.236559,10.0.0.0,10.0.0.1,54
5.013119,10.0.0.0,10.0.0.1,83
5.014197,10.0.0.0,10.0.0.1,1446
5.014197,10.0.0.0,10.0.0.1,1446
5.014197,10.0.0.0,10.0.0.1,1446
5.014197,10.0.0.0,10.0.0.1,157
5.018624,10.0.0.0,10.0.0.1,560
5.071638,10.0.0.0,10.0.0.1,82
5.071837,10.0.0.0,10.0.0.1,76
5.075929,10.0.0.0,10.0.0.1,76
5.087582,10.0.0.0,10.0.0.1,76
5.090376,10.0.0.0,10.0.0.1,76
5.090555,10.0.0.0,10.0.0.1,76
5.090977,10.0.0.0,10.0.0.1,77
5.091481,10.0.0.0,10.0.0.1,77
5.091689,10.0.0.0,10.0.0.1,77
5.107052,10.0.0.0,10.0.0.1,78
5.108485,10.0.0.0,10.0.0.1,77
5.108646,10.0.0.0,10.0.0.1,77
5.108777,10.0.0.0,10.0.0.1,77
5.113096,10.0.0.0,10.0.0.1,77
5.113245,10.0.0.0,10.0.0.1,77
5.113396,10.0.0.0,10.0.0.1,77
5.119628,10.0.0.0,10.0.0.1,77
5.119751,10.0.0.0,10.0.0.1,77
5.119859,10.0.0.0,10.0.0.1,77
5.121590,10.0.0.0,10.0.0.1,77
5.129082,10.0.0.0,10.0.0.1,82
5.129257,10.0.0.0,10.0.0.1,77
5.129397,10.0.0.0,10.0.0.1,77
5.134292,10.0.0.0,10.0.0.1,77
5.134482,10.0.0.0,10.0.0.1,77
5.134680,10.0.0.0,10.0.0.1,77
5.147891,10.0.0.0,10.0.0.1,77
5.148053,10.0.0.0,10.0.0.1,77
5.148199,10.0.0.0,10.0.0.1,77
5.148320,10.0.0.0,10.0.0.1,77
5.152121,10.0.0.0,10.0.0.1,77
5.152244,10.0.0.0,10.0.0.1,77
5.152370,10.0.0.0,10.0.0.1,77
5.152631,10.0.0.0,10.0.0.1,77
5.152752,10.0.0.0,10.0.0.1,77
5.152887,10.0.0.0,10.0.0.1,77
5.158089,10.0.0.0,10.0.0.1,54
5.158307,10.0.0.0,10.0.0.1,77
5.158458,10.0.0.0,10.0.0.1,77
5.159711,10.0.0.0,10.0.0.1,90
5.170357,10.0.0.0,10.0.0.1,78
6.005454,10.0.0.0,10.0.0.1,868
6.005699,10.0.0.0,10.0.0.1,1286
6.005778,10.0.0.0,10.0.0.1,408
6.006394,10.0.0.0,10.0.0.1,1446
6.006394,10.0.0.0,10.0.0.1,1446
6.006394,10.0.0.0,10.0.0.1,1175
6.012162,10.0.0.0,10.0.0.1,668
6.051914,10.0.0.0,10.0.0.1,82
6.052125,10.0.0.0,10.0.0.1,76
6.064152,10.0.0.0,10.0.0.1,76
6.064460,10.0.0.0,10.0.0.1,76
6.064719,10.0.0.0,10.0.0.1,76
6.064930,10.0.0.0,10.0.0.1,76
6.065375,10.0.0.0,10.0.0.1,77
6.065566,10.0.0.0,10.0.0.1,77
6.065754,10.0.0.0,10.0.0.1,77
6.066161,10.0.0.0,10.0.0.1,77
6.071862,10.0.0.0,10.0.0.1,598
6.078220,10.0.0.0,10.0.0.1,78
6.078881,10.0.0.0,10.0.0.1,550
6.089091,10.0.0.0,10.0.0.1,77
6.111336,10.0.0.0,10.0.0.1,80
6.111824,10.0.0.0,10.0.0.1,76
