time,source,destination,packet_length
0.000485,10.0.0.0,10.0.0.1,120
0.295418,10.0.0.0,10.0.0.1,121
0.297052,10.0.0.0,10.0.0.1,120
0.500905,10.0.0.0,10.0.0.1,120
0.509923,10.0.0.0,10.0.0.1,120
0.830260,10.0.0.0,10.0.0.1,189
0.999741,10.0.0.0,10.0.0.1,120
1.000420,10.0.0.0,10.0.0.1,156
1.074270,10.0.0.0,10.0.0.1,120
1.298984,10.0.0.0,10.0.0.1,1360
1.299471,10.0.0.0,10.0.0.1,1360
1.299545,10.0.0.0,10.0.0.1,1360
1.299602,10.0.0.0,10.0.0.1,1360
1.299658,10.0.0.0,10.0.0.1,1071
1.475345,10.0.0.0,10.0.0.1,120
1.475997,10.0.0.0,10.0.0.1,156
1.499810,10.0.0.0,10.0.0.1,120
2.000041,10.0.0.0,10.0.0.1,120
2.022237,10.0.0.0,10.0.0.1,121
2.086081,10.0.0.0,10.0.0.1,121
2.500583,10.0.0.0,10.0.0.1,120
2.920425,10.0.0.0,10.0.0.1,1360
2.920802,10.0.0.0,10.0.0.1,1360
2.920846,10.0.0.0,10.0.0.1,1360
2.920889,10.0.0.0,10.0.0.1,257
2.920926,10.0.0.0,10.0.0.1,137
2.998770,10.0.0.0,10.0.0.1,120
3.089881,10.0.0.0,10.0.0.1,120
3.090634,10.0.0.0,10.0.0.1,156
3.222672,10.0.0.0,10.0.0.1,217
3.422311,10.0.0.0,10.0.0.1,120
3.500031,10.0.0.0,10.0.0.1,120
4.004028,10.0.0.0,10.0.0.1,120
4.501234,10.0.0.0,10.0.0.1,120
5.003286,10.0.0.0,10.0.0.1,120
5.244144,10.0.0.0,10.0.0.1,1360
5.244232,10.0.0.0,10.0.0.1,1360
5.244269,10.0.0.0,10.0.0.1,1360
5.244302,10.0.0.0,10.0.0.1,1360
5.244334,10.0.0.0,10.0.0.1,423
5.245286,10.0.0.0,10.0.0.1,137
5.245474,10.0.0.0,10.0.0.1,137
5.261970,10.0.0.0,10.0.0.1,341
5.262413,10.0.0.0,10.0.0.1,292
5.262475,10.0.0.0,10.0.0.1,292
5.262744,10.0.0.0,10.0.0.1,290
5.294638,10.0.0.0,10.0.0.1,1351
5.294752,10.0.0.0,10.0.0.1,161
5.303161,10.0.0.0,10.0.0.1,174
5.315188,10.0.0.0,10.0.0.1,776
5.328264,10.0.0.0,10.0.0.1,574
5.328492,10.0.0.0,10.0.0.1,1245
5.421373,10.0.0.0,10.0.0.1,120
5.421794,10.0.0.0,10.0.0.1,156
5.449678,10.0.0.0,10.0.0.1,148
5.483657,10.0.0.0,10.0.0.1,120
5.484082,10.0.0.0,10.0.0.1,156
5.492399,10.0.0.0,10.0.0.1,140
5.495036,10.0.0.0,10.0.0.1,120
5.495162,10.0.0.0,10.0.0.1,145
5.499289,10.0.0.0,10.0.0.1,120
5.504952,10.0.0.0,10.0.0.1,142
5.553919,10.0.0.0,10.0.0.1,150
5.630167,10.0.0.0,10.0.0.1,148
5.630302,10.0.0.0,10.0.0.1,1285
5.633111,10.0.0.0,10.0.0.1,1358
5.633177,10.0.0.0,10.0.0.1,1358
5.633280,10.0.0.0,10.0.0.1,190
5.634100,10.0.0.0,10.0.0.1,1158
5.634272,10.0.0.0,10.0.0.1,337
5.634607,10.0.0.0,10.0.0.1,300
5.635613,10.0.0.0,10.0.0.1,331
5.636654,10.0.0.0,10.0.0.1,1358
5.636692,10.0.0.0,10.0.0.1,1358
5.636922,10.0.0.0,10.0.0.1,329
5.637121,10.0.0.0,10.0.0.1,315
5.774400,10.0.0.0,10.0.0.1,1358
5.774509,10.0.0.0,10.0.0.1,1358
5.785939,10.0.0.0,10.0.0.1,1358
5.786489,10.0.0.0,10.0.0.1,186
5.787448,10.0.0.0,10.0.0.1,1358
5.789922,10.0.0.0,10.0.0.1,139
5.790121,10.0.0.0,10.0.0.1,143
5.790266,10.0.0.0,10.0.0.1,143
5.790343,10.0.0.0,10.0.0.1,139
5.790428,10.0.0.0,10.0.0.1,139
5.792579,10.0.0.0,10.0.0.1,148
5.794432,10.0.0.0,10.0.0.1,139
5.794470,10.0.0.0,10.0.0.1,139
5.794492,10.0.0.0,10.0.0.1,139
5.794543,10.0.0.0,10.0.0.1,139
5.798373,10.0.0.0,10.0.0.1,139
5.798487,10.0.0.0,10.0.0.1,148
5.809567,10.0.0.0,10.0.0.1,145
5.830192,10.0.0.0,10.0.0.1,141
5.839335,10.0.0.0,10.0.0.1,140
5.873558,10.0.0.0,10.0.0.1,145
5.889377,10.0.0.0,10.0.0.1,132
5.921349,10.0.0.0,10.0.0.1,1358
5.926030,10.0.0.0,10.0.0.1,1358
5.926078,10.0.0.0,10.0.0.1,147
5.932841,10.0.0.0,10.0.0.1,147
5.934021,10.0.0.0,10.0.0.1,191
5.934136,10.0.0.0,10.0.0.1,177
5.934588,10.0.0.0,10.0.0.1,1175
5.934751,10.0.0.0,10.0.0.1,282
5.934850,10.0.0.0,10.0.0.1,269
5.934981,10.0.0.0,10.0.0.1,276
5.947339,10.0.0.0,10.0.0.1,143
5.950708,10.0.0.0,10.0.0.1,139
5.953386,10.0.0.0,10.0.0.1,139
5.958725,10.0.0.0,10.0.0.1,139
5.963229,10.0.0.0,10.0.0.1,139
5.966610,10.0.0.0,10.0.0.1,139
5.971773,10.0.0.0,10.0.0.1,139
5.974693,10.0.0.0,10.0.0.1,139
5.974732,10.0.0.0,10.0.0.1,139
5.982635,10.0.0.0,10.0.0.1,139
5.987025,10.0.0.0,10.0.0.1,139
5.990283,10.0.0.0,10.0.0.1,139
5.994389,10.0.0.0,10.0.0.1,139
6.000011,10.0.0.0,10.0.0.1,120
6.000071,10.0.0.0,10.0.0.1,139
6.000187,10.0.0.0,10.0.0.1,139
6.006426,10.0.0.0,10.0.0.1,132
6.019729,10.0.0.0,10.0.0.1,1358
6.019834,10.0.0.0,10.0.0.1,587
6.019973,10.0.0.0,10.0.0.1,454
6.025126,10.0.0.0,10.0.0.1,1358
6.025199,10.0.0.0,10.0.0.1,320
6.033532,10.0.0.0,10.0.0.1,120
6.033597,10.0.0.0,10.0.0.1,140
6.034013,10.0.0.0,10.0.0.1,1360
6.034049,10.0.0.0,10.0.0.1,603
6.039197,10.0.0.0,10.0.0.1,928
6.040084,10.0.0.0,10.0.0.1,1351
6.040137,10.0.0.0,10.0.0.1,143
6.041541,10.0.0.0,10.0.0.1,929
6.069932,10.0.0.0,10.0.0.1,148
6.070722,10.0.0.0,10.0.0.1,191
6.070816,10.0.0.0,10.0.0.1,182
6.071246,10.0.0.0,10.0.0.1,1354
6.071286,10.0.0.0,10.0.0.1,386
6.078962,10.0.0.0,10.0.0.1,139
6.079234,10.0.0.0,10.0.0.1,143
6.084753,10.0.0.0,10.0.0.1,143
6.089992,10.0.0.0,10.0.0.1,1351
6.090119,10.0.0.0,10.0.0.1,1358
6.091306,10.0.0.0,10.0.0.1,139
6.091501,10.0.0.0,10.0.0.1,143
6.098285,10.0.0.0,10.0.0.1,143
6.098363,10.0.0.0,10.0.0.1,139
6.098471,10.0.0.0,10.0.0.1,1358
6.098522,10.0.0.0,10.0.0.1,1358
6.098569,10.0.0.0,10.0.0.1,170
6.103543,10.0.0.0,10.0.0.1,139
6.146306,10.0.0.0,10.0.0.1,120
6.146624,10.0.0.0,10.0.0.1,1360
6.146666,10.0.0.0,10.0.0.1,608
6.189981,10.0.0.0,10.0.0.1,120
6.193840,10.0.0.0,10.0.0.1,120
6.194268,10.0.0.0,10.0.0.1,194
6.195982,10.0.0.0,10.0.0.1,1351
6.196028,10.0.0.0,10.0.0.1,1358
6.206336,10.0.0.0,10.0.0.1,1358
6.206385,10.0.0.0,10.0.0.1,1358
6.206409,10.0.0.0,10.0.0.1,1358
6.206430,10.0.0.0,10.0.0.1,564
6.218453,10.0.0.0,10.0.0.1,141
6.218524,10.0.0.0,10.0.0.1,141
6.231795,10.0.0.0,10.0.0.1,145
6.234147,10.0.0.0,10.0.0.1,628
6.255062,10.0.0.0,10.0.0.1,150
6.287890,10.0.0.0,10.0.0.1,141
6.300423,10.0.0.0,10.0.0.1,120
6.300510,10.0.0.0,10.0.0.1,120
6.300942,10.0.0.0,10.0.0.1,194
6.322083,10.0.0.0,10.0.0.1,146
6.387773,10.0.0.0,10.0.0.1,120
6.392097,10.0.0.0,10.0.0.1,146
6.404655,10.0.0.0,10.0.0.1,140
6.406771,10.0.0.0,10.0.0.1,143
6.483837,10.0.0.0,10.0.0.1,120
6.498446,10.0.0.0,10.0.0.1,120
6.664144,10.0.0.0,10.0.0.1,1118
6.873603,10.0.0.0,10.0.0.1,146
6.890212,10.0.0.0,10.0.0.1,152
7.001070,10.0.0.0,10.0.0.1,120
7.091166,10.0.0.0,10.0.0.1,120
7.308207,10.0.0.0,10.0.0.1,152
7.502301,10.0.0.0,10.0.0.1,120
7.502747,10.0.0.0,10.0.0.1,120
7.664755,10.0.0.0,10.0.0.1,1358
7.664870,10.0.0.0,10.0.0.1,1351
7.664922,10.0.0.0,10.0.0.1,1358
7.667906,10.0.0.0,10.0.0.1,1358
7.668037,10.0.0.0,10.0.0.1,1358
7.668123,10.0.0.0,10.0.0.1,1223
7.668531,10.0.0.0,10.0.0.1,137
7.669570,10.0.0.0,10.0.0.1,1351
7.669757,10.0.0.0,10.0.0.1,1358
7.669818,10.0.0.0,10.0.0.1,1358
7.669948,10.0.0.0,10.0.0.1,1330
7.674598,10.0.0.0,10.0.0.1,137
7.683193,10.0.0.0,10.0.0.1,172
7.831606,10.0.0.0,10.0.0.1,1358
7.831967,10.0.0.0,10.0.0.1,1358
7.852887,10.0.0.0,10.0.0.1,141
7.981564,10.0.0.0,10.0.0.1,147
7.981816,10.0.0.0,10.0.0.1,147
7.982780,10.0.0.0,10.0.0.1,191
7.982869,10.0.0.0,10.0.0.1,175
7.983211,10.0.0.0,10.0.0.1,1083
8.002888,10.0.0.0,10.0.0.1,120
8.020787,10.0.0.0,10.0.0.1,137
8.128346,10.0.0.0,10.0.0.1,142
8.128391,10.0.0.0,10.0.0.1,139
8.128517,10.0.0.0,10.0.0.1,143
8.168008,10.0.0.0,10.0.0.1,140
8.305053,10.0.0.0,10.0.0.1,152
