time,source,destination,packet_length
0.000000,10.0.0.0,10.0.0.1,1292
0.000058,10.0.0.0,10.0.0.1,1292
0.002779,10.0.0.0,10.0.0.1,121
0.048024,10.0.0.0,10.0.0.1,81
0.048506,10.0.0.0,10.0.0.1,206
0.048699,10.0.0.0,10.0.0.1,1288
0.048774,10.0.0.0,10.0.0.1,1288
0.048817,10.0.0.0,10.0.0.1,1053
0.082864,10.0.0.0,10.0.0.1,74
0.083232,10.0.0.0,10.0.0.1,77
0.135861,10.0.0.0,10.0.0.1,73
0.136019,10.0.0.0,10.0.0.1,73
0.136105,10.0.0.0,10.0.0.1,73
0.139674,10.0.0.0,10.0.0.1,73
0.143873,10.0.0.0,10.0.0.1,73
0.144000,10.0.0.0,10.0.0.1,73
0.147528,10.0.0.0,10.0.0.1,73
0.147605,10.0.0.0,10.0.0.1,73
0.147670,10.0.0.0,10.0.0.1,73
0.162032,10.0.0.0,10.0.0.1,73
0.162098,10.0.0.0,10.0.0.1,73
0.162149,10.0.0.0,10.0.0.1,73
0.162186,10.0.0.0,10.0.0.1,73
0.162253,10.0.0.0,10.0.0.1,73
0.162316,10.0.0.0,10.0.0.1,73
0.162382,10.0.0.0,10.0.0.1,73
0.162463,10.0.0.0,10.0.0.1,73
0.169606,10.0.0.0,10.0.0.1,73
0.169758,10.0.0.0,10.0.0.1,73
0.169831,10.0.0.0,10.0.0.1,78
0.169903,10.0.0.0,10.0.0.1,73
0.173948,10.0.0.0,10.0.0.1,73
0.174052,10.0.0.0,10.0.0.1,73
0.179070,10.0.0.0,10.0.0.1,73
0.179155,10.0.0.0,10.0.0.1,73
0.182542,10.0.0.0,10.0.0.1,74
0.182644,10.0.0.0,10.0.0.1,74
0.186752,10.0.0.0,10.0.0.1,74
0.186840,10.0.0.0,10.0.0.1,74
0.191508,10.0.0.0,10.0.0.1,74
0.195654,10.0.0.0,10.0.0.1,74
0.197246,10.0.0.0,10.0.0.1,75
0.197345,10.0.0.0,10.0.0.1,75
0.197419,10.0.0.0,10.0.0.1,75
0.201338,10.0.0.0,10.0.0.1,75
0.201398,10.0.0.0,10.0.0.1,75
0.201442,10.0.0.0,10.0.0.1,75
0.216664,10.0.0.0,10.0.0.1,74
0.216730,10.0.0.0,10.0.0.1,74
0.216800,10.0.0.0,10.0.0.1,79
0.219146,10.0.0.0,10.0.0.1,74
0.219260,10.0.0.0,10.0.0.1,74
0.219335,10.0.0.0,10.0.0.1,74
0.219415,10.0.0.0,10.0.0.1,74
0.219499,10.0.0.0,10.0.0.1,74
0.219583,10.0.0.0,10.0.0.1,74
0.219654,10.0.0.0,10.0.0.1,74
0.219778,10.0.0.0,10.0.0.1,74
0.228916,10.0.0.0,10.0.0.1,75
0.229014,10.0.0.0,10.0.0.1,75
0.229128,10.0.0.0,10.0.0.1,75
0.238259,10.0.0.0,10.0.0.1,76
0.251397,10.0.0.0,10.0.0.1,75
0.267085,10.0.0.0,10.0.0.1,75
0.267203,10.0.0.0,10.0.0.1,75
0.267292,10.0.0.0,10.0.0.1,75
0.287989,10.0.0.0,10.0.0.1,75
0.288144,10.0.0.0,10.0.0.1,75
0.288276,10.0.0.0,10.0.0.1,75
0.289164,10.0.0.0,10.0.0.1,80
0.289337,10.0.0.0,10.0.0.1,75
0.305965,10.0.0.0,10.0.0.1,76
0.307021,10.0.0.0,10.0.0.1,75
0.330423,10.0.0.0,10.0.0.1,75
0.330593,10.0.0.0,10.0.0.1,75
0.330739,10.0.0.0,10.0.0.1,75
0.353450,10.0.0.0,10.0.0.1,75
